Round,Stimuli,Answer,Correct,Stimulus Time,Response Time
0,F,None,,500.7014,0
0,M,None,,1501.385,0
0,D,N,C,2502.155,2843.823
0,M,Y,C,3503.084,3950.568
0,D,N,X,4503.336,4785.022
1,O,None,,8004.642,0
1,V,None,,9005.541,0
1,T,N,C,10006.16,10339.4
1,V,Y,C,11007.11,11313.46
1,T,Y,C,12007.53,12324.61
