Round,Trial,Stimuli,Correct Sum,Selected Sum,Points,Response Time,Time Log
0,0,18,0,0,0,0,0
0,1,2,20,20,1,1649.851,3000.292
0,2,12,14,14,2,1414.608,6002.441
